Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 20:08:00,Ours,0.00208,4.017903369548347,1.21,1.21,1,75.0344,1:15.03,67.3156,6.4244,1.2856,75.0344,1:15.03,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[2,4];15:[1,2,4,5,6];23:[0,1,2,4,5,6];17:[2,4,6];8:[1,2,4,5,6];9:[1,2,4,6];28:[2,4,6];24:[2,4,6];12:[2,4];0:[2];4:[1,2,4,6];16:[1,2,4,6];5:[1,2,4,6];13:[1,2,4,6];11:[2,4];22:[2,4];1:[2,6];2:[2,4];25:[1,2,4,5,6];3:[1,2,4,5,6];21:[2,4];26:[2,4,6];18:[2,4,6];29:[2,4];20:[1,2,4,5,6];7:[2,4];10:[2,6];14:[1,2,4,5,6];19:[1,2,4,6];6:[1,2,4,6]","c27:bw=21,experts=[2,4]; c15:bw=58,experts=[1,2,4,5,6]; c23:bw=65,experts=[0,1,2,4,5,6]; c17:bw=34,experts=[2,4,6]; c8:bw=55,experts=[1,2,4,5,6]; c9:bw=45,experts=[1,2,4,6]; c28:bw=39,experts=[2,4,6]; c24:bw=34,experts=[2,4,6]; c12:bw=23,experts=[2,4]; c0:bw=10,experts=[2]; c4:bw=40,experts=[1,2,4,6]; c16:bw=48,experts=[1,2,4,6]; c5:bw=44,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c22:bw=26,experts=[2,4]; c1:bw=29,experts=[2,6]; c2:bw=29,experts=[2,4]; c25:bw=55,experts=[1,2,4,5,6]; c3:bw=51,experts=[1,2,4,5,6]; c21:bw=20,experts=[2,4]; c26:bw=38,experts=[2,4,6]; c18:bw=30,experts=[2,4,6]; c29:bw=26,experts=[2,4]; c20:bw=55,experts=[1,2,4,5,6]; c7:bw=20,experts=[2,4]; c10:bw=22,experts=[2,6]; c14:bw=54,experts=[1,2,4,5,6]; c19:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","3.0100,1.6415,1.8301,2.5018,1.6396,1.8525,2.0960,1.7552,2.4847,1.5368,2.6447,2.4452,3.8571,2.2316,2.9366,2.2138,1.4958,1.7835,2.6402,2.1140,1.4587,1.5384,2.3340,4.0891,2.7684,1.7461,3.2844,1.8338,1.9459,1.6058"
2,2026-09-23 20:09:12,Ours,0.00406,3.4586196650627907,3.61,3.61,2,71.8012,1:11.80,64.0322,6.4974,1.2683,146.9935,2:26.99,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[0,4,6];5:[0,1,2,4,5,6];20:[4];26:[0,4,6];13:[0,1,2,4,6];7:[0,1,2,4,6];21:[4,6];10:[0,1,2,4,6];12:[4];29:[0,1,2,4,5,6];24:[4];22:[0,4,6];16:[4];3:[0,1,2,4,5,6];1:[0,1,4,6];17:[0,1,2,4,6];8:[0,1,4,6];6:[4];23:[0,1,2,3,4,5,6];4:[0,4,6];2:[4,6];19:[0,1,4,5,6];11:[4,6];18:[4,6];25:[4,6];14:[4,6];15:[0,1,2,4,5,6];28:[0,1,2,4,5,6];27:[4,6];9:[0,1,4,6]","c0:bw=36,experts=[0,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c20:bw=15,experts=[4]; c26:bw=35,experts=[0,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c21:bw=28,experts=[4,6]; c10:bw=59,experts=[0,1,2,4,6]; c12:bw=16,experts=[4]; c29:bw=60,experts=[0,1,2,4,5,6]; c24:bw=10,experts=[4]; c22:bw=38,experts=[0,4,6]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,4,5,6]; c1:bw=41,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,2,4,6]; c8:bw=48,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c23:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c2:bw=22,experts=[4,6]; c19:bw=53,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c18:bw=24,experts=[4,6]; c25:bw=25,experts=[4,6]; c14:bw=26,experts=[4,6]; c15:bw=62,experts=[0,1,2,4,5,6]; c28:bw=65,experts=[0,1,2,4,5,6]; c27:bw=24,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]","1.4726,3.7906,2.6113,1.4421,2.1192,1.7392,1.4259,3.1176,2.2726,3.8739,1.6395,2.0872,2.2906,2.0031,1.4556,2.4898,1.5447,1.5290,1.7736,2.5984,1.6604,1.9142,2.9099,2.2022,2.5746,1.7170,1.5277,2.0461,2.3830,1.8205"
3,2026-09-23 20:10:23,Ours,0.006040000000000001,3.321098449544626,5.19,5.19,3,71.5352,1:11.54,63.8929,6.3812,1.2579,218.5406,3:38.54,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[0,1,4,5,6];25:[0,4,6];10:[4];0:[0,1,4,5,6];8:[0,4,6];20:[0,1,4,5,6];29:[4];26:[0,1,4,5,6];15:[4];28:[0,1,4,5,6];24:[4,6];23:[4];18:[0,1,4,6];12:[0,4,6];21:[0,1,4,6];19:[4,6];9:[0,1,4,6];5:[4];1:[4];22:[0,1,4,5,6];27:[0,4,6];17:[0,1,4,6];3:[4,6];16:[0,4,6];13:[0,1,4,5,6];2:[0,1,4,6];14:[0,1,4,5,6];7:[0,4,6];11:[0,1,2,4,5,6];6:[0,1,4,6]","c4:bw=52,experts=[0,1,4,5,6]; c25:bw=35,experts=[0,4,6]; c10:bw=10,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c8:bw=30,experts=[0,4,6]; c20:bw=56,experts=[0,1,4,5,6]; c29:bw=15,experts=[4]; c26:bw=52,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c28:bw=56,experts=[0,1,4,5,6]; c24:bw=29,experts=[4,6]; c23:bw=11,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c12:bw=37,experts=[0,4,6]; c21:bw=48,experts=[0,1,4,6]; c19:bw=24,experts=[4,6]; c9:bw=48,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c1:bw=13,experts=[4]; c22:bw=54,experts=[0,1,4,5,6]; c27:bw=34,experts=[0,4,6]; c17:bw=41,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c16:bw=31,experts=[0,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c7:bw=33,experts=[0,4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]","2.6259,2.6234,3.1447,1.4863,1.5560,2.6118,3.9204,1.4265,1.5508,2.0560,1.6378,1.7536,2.2081,2.2867,1.4000,1.9113,1.7881,3.7132,1.4445,2.0788,2.3476,2.4731,2.0045,2.3035,2.0954,1.6651,1.7565,1.7208,2.7993,1.5030"
4,2026-09-23 20:11:35,Ours,0.00802,3.249328714438716,6.57,6.57,4,72.155,1:12.16,64.1659,6.7225,1.2633,290.7086,4:50.71,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[0,4,6];1:[0,1,4,6];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];16:[0,1,4,6];26:[0,4,6];9:[4,6];13:[0,1,4,6];24:[4];2:[0,1,2,4,5,6];10:[0,1,2,4,5,6];19:[0,1,4,6];28:[0,1,2,4,5,6];11:[0,1,4,6];18:[0,1,4,6];7:[0,1,4,6];21:[4,6];6:[0,1,4,5,6];0:[0,1,4,5,6];22:[0,1,4,6];25:[0,1,4,6];8:[0,4,6];27:[0,1,4,5,6];23:[4];29:[0,1,4,6];14:[0,4,6];17:[0,4,6];12:[0,1,2,4,5,6];15:[4,6];20:[0,1,2,4,5,6,7]","c3:bw=34,experts=[0,4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c16:bw=45,experts=[0,1,4,6]; c26:bw=37,experts=[0,4,6]; c9:bw=22,experts=[4,6]; c13:bw=49,experts=[0,1,4,6]; c24:bw=19,experts=[4]; c2:bw=60,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c19:bw=47,experts=[0,1,4,6]; c28:bw=63,experts=[0,1,2,4,5,6]; c11:bw=49,experts=[0,1,4,6]; c18:bw=43,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c21:bw=27,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]; c8:bw=31,experts=[0,4,6]; c27:bw=58,experts=[0,1,4,5,6]; c23:bw=15,experts=[4]; c29:bw=44,experts=[0,1,4,6]; c14:bw=32,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c15:bw=24,experts=[4,6]; c20:bw=70,experts=[0,1,2,4,5,6,7]","2.0044,1.4498,2.6244,3.8002,2.3406,1.4314,1.7971,2.0919,1.6482,1.6721,3.2026,1.9342,2.0286,2.7952,2.2247,1.7399,1.4357,1.5280,1.4897,2.0985,2.5753,1.5622,2.3669,1.7552,3.8920,1.7542,2.5120,2.3117,1.5221,2.5773"
5,2026-09-23 20:12:52,Ours,0.01,3.214698788876762,7.01,7.01,5,76.4278,1:16.43,68.6672,6.4654,1.289,367.1491,6:07.15,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[4];3:[0,1,2,4,5,6];16:[0,4,6];28:[0,1,4,6];9:[0,1,2,4,5,6];20:[0,1,4,5,6];22:[0,1,4,6];14:[0,1,4,5,6];12:[0,1,4,5,6];17:[0,1,2,4,5,6];19:[4];13:[0,4,6];21:[0,4,6];18:[4];10:[0,4,6];5:[0,4,5,6];24:[4];23:[4,6];2:[4];4:[0,4,5,6];15:[0,4,5,6];0:[0,1,4,5,6];1:[4,6];11:[4,6];7:[4,6];27:[0,4,6];29:[0,1,4,5,6];8:[0,4,6];25:[0,4,6];6:[0,1,4,5,6]","c26:bw=19,experts=[4]; c3:bw=63,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c28:bw=45,experts=[0,1,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c20:bw=50,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c19:bw=19,experts=[4]; c13:bw=36,experts=[0,4,6]; c21:bw=35,experts=[0,4,6]; c18:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c5:bw=40,experts=[0,4,5,6]; c24:bw=12,experts=[4]; c23:bw=29,experts=[4,6]; c2:bw=10,experts=[4]; c4:bw=48,experts=[0,4,5,6]; c15:bw=45,experts=[0,4,5,6]; c0:bw=50,experts=[0,1,4,5,6]; c1:bw=20,experts=[4,6]; c11:bw=21,experts=[4,6]; c7:bw=24,experts=[4,6]; c27:bw=30,experts=[0,4,6]; c29:bw=55,experts=[0,1,4,5,6]; c8:bw=37,experts=[0,4,6]; c25:bw=34,experts=[0,4,6]; c6:bw=53,experts=[0,1,4,5,6]","1.4422,2.0097,2.3348,2.1255,1.8566,2.6549,2.1498,1.7806,2.4567,2.5839,1.9290,2.1190,1.4247,2.2626,3.1694,3.8415,1.8795,2.2582,2.1097,2.6675,1.6066,1.7455,1.8985,3.6244,1.9470,2.4887,4.5670,1.5769,2.6179,1.5387"
6,2026-09-23 20:14:04,Ours,0.01,3.171865827156195,8.64,8.64,6,72.1193,1:12.12,64.3255,6.5037,1.2868,439.2846,7:19.28,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[4,6];11:[0,4,6];7:[0,1,4,5,6];13:[4];0:[0,4,6];28:[0,1,2,4,5,6,7];20:[0,4,5,6];8:[0,1,2,4,5,6];1:[0,4,6];5:[4,6];2:[0,4,5,6];23:[0,1,2,4,5,6,7];22:[0,4,6];15:[0,4,6];21:[4];29:[0,1,4,6];10:[4];14:[0,4,5,6];26:[0,1,4,6];24:[4];4:[4];3:[0,4,6];19:[0,4,6];16:[0,1,4,5,6];6:[4,6];18:[0,1,4,6];12:[0,1,2,4,5,6];27:[0,1,4,6];9:[0,1,4,6];25:[0,1,4,6]","c17:bw=27,experts=[4,6]; c11:bw=31,experts=[0,4,6]; c7:bw=58,experts=[0,1,4,5,6]; c13:bw=15,experts=[4]; c0:bw=31,experts=[0,4,6]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[0,4,5,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c1:bw=32,experts=[0,4,6]; c5:bw=27,experts=[4,6]; c2:bw=42,experts=[0,4,5,6]; c23:bw=73,experts=[0,1,2,4,5,6,7]; c22:bw=32,experts=[0,4,6]; c15:bw=33,experts=[0,4,6]; c21:bw=10,experts=[4]; c29:bw=41,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c14:bw=40,experts=[0,4,5,6]; c26:bw=43,experts=[0,1,4,6]; c24:bw=18,experts=[4]; c4:bw=17,experts=[4]; c3:bw=36,experts=[0,4,6]; c19:bw=37,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c6:bw=20,experts=[4,6]; c18:bw=40,experts=[0,1,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c27:bw=43,experts=[0,1,4,6]; c9:bw=48,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]","2.5047,2.8342,1.7275,2.1472,1.5079,2.0912,2.6281,1.5961,1.4604,3.7779,1.6791,1.7680,2.1109,1.5585,1.4026,3.9114,3.1039,1.7616,1.4208,1.6366,2.6090,2.0115,1.9169,2.2959,1.5136,2.2259,2.3068,2.3711,1.8201,2.6258"
7,2026-09-23 20:15:16,Ours,0.01,3.125109367546203,9.94,9.94,7,72.1865,1:12.19,64.5824,6.3178,1.2831,511.4845,8:31.48,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[4];1:[4];29:[0,1,4,5,6];3:[4,6];13:[4,6];15:[0,4,6];9:[4];16:[0,1,4,5,6];14:[4];17:[0,4,5,6];21:[0,1,2,4,5,6];4:[4];18:[4,6];25:[0,1,4,5,6];7:[1,4,6];5:[0,1,4,6];23:[0,1,4,6];2:[0,4,5,6];8:[0,1,4,5,6];12:[0,1,4,6];26:[0,1,4,6];24:[0,4,6];0:[0,4,6];6:[4];22:[0,1,2,4,6];10:[4];19:[0,1,4,5,6];28:[4];11:[0,1,2,4,5,6];27:[4,6]","c20:bw=16,experts=[4]; c1:bw=10,experts=[4]; c29:bw=57,experts=[0,1,4,5,6]; c3:bw=26,experts=[4,6]; c13:bw=25,experts=[4,6]; c15:bw=39,experts=[0,4,6]; c9:bw=10,experts=[4]; c16:bw=53,experts=[0,1,4,5,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,4,5,6]; c21:bw=60,experts=[0,1,2,4,5,6]; c4:bw=14,experts=[4]; c18:bw=20,experts=[4,6]; c25:bw=50,experts=[0,1,4,5,6]; c7:bw=31,experts=[1,4,6]; c5:bw=49,experts=[0,1,4,6]; c23:bw=41,experts=[0,1,4,6]; c2:bw=40,experts=[0,4,5,6]; c8:bw=57,experts=[0,1,4,5,6]; c12:bw=47,experts=[0,1,4,6]; c26:bw=49,experts=[0,1,4,6]; c24:bw=31,experts=[0,4,6]; c0:bw=36,experts=[0,4,6]; c6:bw=13,experts=[4]; c22:bw=55,experts=[0,1,2,4,6]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,4,5,6]; c28:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c27:bw=26,experts=[4,6]","2.6169,1.4734,3.9817,2.0323,2.1617,1.5882,1.8257,2.3252,1.7595,2.5310,1.4282,2.6533,2.2512,2.6013,1.7381,3.6975,1.7756,1.6761,1.5650,2.2902,1.4579,1.6615,1.4957,1.5253,2.1229,3.1398,1.9307,2.0594,2.8311,2.3857"
8,2026-09-23 20:16:29,Ours,0.01,3.1788298746034473,10.63,10.63,8,72.712,1:12.71,64.7523,6.6748,1.2816,584.2105,9:44.21,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[1,3,4,6,7];14:[0,3,4,6,7];7:[3];9:[0,3,4,6,7];13:[3,4,7];8:[3,4,7];3:[3,4,7];12:[0,3,4,6,7];18:[3,5,7];23:[0,4,6];15:[0,3,4,5,6,7];0:[3,4,7];21:[3,4,7];28:[3,4,6];5:[3,4];26:[0,3,4,6,7];17:[0,3,4,6,7];24:[1,3,5,7];27:[3,4,6,7];20:[0,3,4,6];22:[0,1,3,4,6,7];4:[3];29:[0,1,3,4,5,6,7];2:[0,3,4,6,7];1:[3,4,5,6,7];6:[3,4,6,7];11:[3,4,6,7];19:[3,4,7];25:[3,4,6,7];16:[3,4,6,7]","c10:bw=51,experts=[1,3,4,6,7]; c14:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c9:bw=59,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c8:bw=37,experts=[3,4,7]; c3:bw=37,experts=[3,4,7]; c12:bw=51,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c23:bw=35,experts=[0,4,6]; c15:bw=66,experts=[0,3,4,5,6,7]; c0:bw=32,experts=[3,4,7]; c21:bw=31,experts=[3,4,7]; c28:bw=38,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c26:bw=55,experts=[0,3,4,6,7]; c17:bw=56,experts=[0,3,4,6,7]; c24:bw=42,experts=[1,3,5,7]; c27:bw=41,experts=[3,4,6,7]; c20:bw=42,experts=[0,3,4,6]; c22:bw=61,experts=[0,1,3,4,6,7]; c4:bw=10,experts=[3]; c29:bw=71,experts=[0,1,3,4,5,6,7]; c2:bw=54,experts=[0,3,4,6,7]; c1:bw=58,experts=[3,4,5,6,7]; c6:bw=41,experts=[3,4,6,7]; c11:bw=45,experts=[3,4,6,7]; c19:bw=31,experts=[3,4,7]; c25:bw=41,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]","3.1689,1.7763,1.7573,1.8553,2.1493,1.5694,2.0258,2.3124,2.2510,1.7816,1.5541,1.4909,1.4202,2.0846,3.7411,1.4528,2.5470,1.6545,2.3778,2.6046,2.1170,2.6545,3.9131,1.6695,1.5290,1.5676,2.8614,1.9092,2.6413,2.3148"
9,2026-09-23 20:17:42,Ours,0.01,3.096568139915741,12.42,12.42,9,72.7571,1:12.76,65.0358,6.4219,1.2961,656.9828,10:56.98,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[0,4,5,6];7:[1,4,6,7];13:[0,1,4,6];25:[0,1,2,4,5,6];9:[4,6];6:[2,4,6];28:[0,1,4,5,6];29:[0,1,4,6];18:[0,1,2,4,6];14:[2,4,6];3:[4,6];2:[4,6];12:[0,4,6];22:[0,4,6];20:[0,1,4,5,6];11:[4,6];8:[4];0:[0,2,4,5,6];24:[2,4];15:[1,4,6];10:[0,4,6];21:[0,1,2,4,5,6];27:[2,4];1:[2];19:[2,4];4:[1,2,4,6,7];23:[0,1,2,4,5,6];5:[0,1,4,5,6];16:[0,2,4,6];26:[2]","c17:bw=49,experts=[0,4,5,6]; c7:bw=46,experts=[1,4,6,7]; c13:bw=41,experts=[0,1,4,6]; c25:bw=67,experts=[0,1,2,4,5,6]; c9:bw=26,experts=[4,6]; c6:bw=31,experts=[2,4,6]; c28:bw=58,experts=[0,1,4,5,6]; c29:bw=46,experts=[0,1,4,6]; c18:bw=53,experts=[0,1,2,4,6]; c14:bw=37,experts=[2,4,6]; c3:bw=23,experts=[4,6]; c2:bw=21,experts=[4,6]; c12:bw=38,experts=[0,4,6]; c22:bw=39,experts=[0,4,6]; c20:bw=58,experts=[0,1,4,5,6]; c11:bw=28,experts=[4,6]; c8:bw=18,experts=[4]; c0:bw=52,experts=[0,2,4,5,6]; c24:bw=25,experts=[2,4]; c15:bw=36,experts=[1,4,6]; c10:bw=34,experts=[0,4,6]; c21:bw=66,experts=[0,1,2,4,5,6]; c27:bw=27,experts=[2,4]; c1:bw=14,experts=[2]; c19:bw=26,experts=[2,4]; c4:bw=59,experts=[1,2,4,6,7]; c23:bw=68,experts=[0,1,2,4,5,6]; c5:bw=52,experts=[0,1,4,5,6]; c16:bw=41,experts=[0,2,4,6]; c26:bw=19,experts=[2]","2.5955,1.7881,2.1487,2.6599,1.8561,1.5679,2.0896,3.9828,2.2520,1.7730,2.0397,1.6783,2.3343,2.1460,2.6172,2.8346,1.5860,1.5004,1.6626,1.5895,3.1552,1.4165,2.3907,1.4602,1.9223,2.6293,1.7577,3.8055,2.3139,1.4823"
10,2026-09-23 20:18:55,Ours,0.01,3.0495251027755272,14.7,14.7,10,73.0425,1:13.04,65.3608,6.3706,1.3078,730.0399,12:10.04,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[0,1,4,6];13:[2,4,6];14:[0,1,2,4,6];18:[4,6];5:[0,1,4,5,6];22:[4];19:[0,1,4,6];24:[0,1,2,4,5,6];20:[4];4:[1,4,6];12:[0,1,2,4,6];1:[0,1,4,6];23:[3];11:[4,6];3:[0,1,4,6];29:[2,4];21:[4];15:[2];26:[0,1,2,4,6];2:[0,4,6];9:[1,4,6];25:[0,1,2,4,5,6];10:[0,1,2,4,6];28:[4,6];27:[4,6];17:[0,4,6];6:[0,1,2,4,5,6];7:[2,4,6];0:[0,1,2,4,6];8:[0,4,6]","c16:bw=44,experts=[0,1,4,6]; c13:bw=38,experts=[2,4,6]; c14:bw=57,experts=[0,1,2,4,6]; c18:bw=28,experts=[4,6]; c5:bw=58,experts=[0,1,4,5,6]; c22:bw=10,experts=[4]; c19:bw=43,experts=[0,1,4,6]; c24:bw=68,experts=[0,1,2,4,5,6]; c20:bw=10,experts=[4]; c4:bw=37,experts=[1,4,6]; c12:bw=52,experts=[0,1,2,4,6]; c1:bw=41,experts=[0,1,4,6]; c23:bw=10,experts=[3]; c11:bw=21,experts=[4,6]; c3:bw=46,experts=[0,1,4,6]; c29:bw=25,experts=[2,4]; c21:bw=10,experts=[4]; c15:bw=10,experts=[2]; c26:bw=58,experts=[0,1,2,4,6]; c2:bw=34,experts=[0,4,6]; c9:bw=35,experts=[1,4,6]; c25:bw=66,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c28:bw=24,experts=[4,6]; c27:bw=24,experts=[4,6]; c17:bw=35,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c8:bw=35,experts=[0,4,6]","2.3830,2.1472,1.7850,2.2759,3.8222,2.1296,1.9614,1.6906,2.6551,2.6699,2.3175,1.4851,1.8024,2.8547,2.0421,3.9323,1.4442,1.6045,1.4816,1.7139,1.8397,2.6598,3.1996,2.1027,2.3988,2.5494,1.5646,1.7607,1.5028,1.5842"
