Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 21:31:00,Ours,0.00208,4.017657280216519,1.24,1.24,1,55.633,0:55.63,54.0043,0.506,1.1196,55.633,0:55.63,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[2,4];15:[1,2,4,5,6];23:[0,1,2,4,5,6];17:[2,4,6];8:[1,2,4,5,6];9:[1,2,4,6];28:[2,4,6];24:[2,4,6];12:[2,4];0:[2];4:[1,2,4,6];16:[1,2,4,6];5:[1,2,4,6];13:[1,2,4,6];11:[2,4];22:[2,4];1:[2,6];2:[2,4];25:[1,2,4,5,6];3:[1,2,4,5,6];21:[2,4];26:[2,4,6];18:[2,4,6];29:[2,4];20:[1,2,4,5,6];7:[2,4];10:[2,6];14:[1,2,4,5,6];19:[1,2,4,6];6:[1,2,4,6]","c27:bw=21,experts=[2,4]; c15:bw=58,experts=[1,2,4,5,6]; c23:bw=65,experts=[0,1,2,4,5,6]; c17:bw=34,experts=[2,4,6]; c8:bw=55,experts=[1,2,4,5,6]; c9:bw=45,experts=[1,2,4,6]; c28:bw=39,experts=[2,4,6]; c24:bw=34,experts=[2,4,6]; c12:bw=23,experts=[2,4]; c0:bw=10,experts=[2]; c4:bw=40,experts=[1,2,4,6]; c16:bw=48,experts=[1,2,4,6]; c5:bw=44,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c22:bw=26,experts=[2,4]; c1:bw=29,experts=[2,6]; c2:bw=29,experts=[2,4]; c25:bw=55,experts=[1,2,4,5,6]; c3:bw=51,experts=[1,2,4,5,6]; c21:bw=20,experts=[2,4]; c26:bw=38,experts=[2,4,6]; c18:bw=30,experts=[2,4,6]; c29:bw=26,experts=[2,4]; c20:bw=55,experts=[1,2,4,5,6]; c7:bw=20,experts=[2,4]; c10:bw=22,experts=[2,6]; c14:bw=54,experts=[1,2,4,5,6]; c19:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","2.5237,1.2457,1.4044,2.0262,1.2547,1.4504,1.6836,1.3487,2.0103,1.1521,2.1797,1.9801,3.2391,1.7934,2.4238,1.7695,1.1413,1.3781,2.1416,1.6709,1.1089,1.1397,1.8927,3.4542,2.2477,1.3749,2.7531,1.4437,1.5388,1.2335"
2,2026-09-23 21:31:52,Ours,0.00406,3.4918080830381166,3.25,3.25,2,52.0558,0:52.06,50.4447,0.4769,1.1309,107.8364,1:47.84,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[0,4,6];5:[0,1,2,4,5,6];20:[4];26:[0,4,6];13:[0,1,2,4,6];7:[0,1,2,4,6];21:[4,6];10:[0,1,2,4,6];12:[4];29:[0,1,2,4,5,6];24:[4];22:[0,4,6];16:[4];3:[0,1,2,4,5,6];1:[0,1,4,6];17:[0,1,2,4,6];8:[0,1,4,6];6:[4];23:[0,1,2,3,4,5,6];4:[0,4,6];2:[4,6];19:[0,1,4,5,6];11:[4,6];18:[4,6];25:[4,6];14:[4,6];15:[0,1,2,4,5,6];28:[0,1,2,4,5,6];27:[4,6];9:[0,1,4,6]","c0:bw=36,experts=[0,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c20:bw=15,experts=[4]; c26:bw=35,experts=[0,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c21:bw=28,experts=[4,6]; c10:bw=59,experts=[0,1,2,4,6]; c12:bw=16,experts=[4]; c29:bw=60,experts=[0,1,2,4,5,6]; c24:bw=10,experts=[4]; c22:bw=38,experts=[0,4,6]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,4,5,6]; c1:bw=41,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,2,4,6]; c8:bw=48,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c23:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c2:bw=22,experts=[4,6]; c19:bw=53,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c18:bw=24,experts=[4,6]; c25:bw=25,experts=[4,6]; c14:bw=26,experts=[4,6]; c15:bw=62,experts=[0,1,2,4,5,6]; c28:bw=65,experts=[0,1,2,4,5,6]; c27:bw=24,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]","1.1231,3.1570,2.0986,1.0733,1.6553,1.3374,1.0478,2.5503,1.8162,3.2347,1.2375,1.6421,1.8114,1.5693,1.0816,2.0006,1.1697,1.1436,1.3463,2.0941,1.2666,1.4888,2.2659,1.7501,2.0884,1.3438,1.1749,1.6053,1.8893,1.3818"
3,2026-09-23 21:32:45,Ours,0.006040000000000001,3.3396577627921946,5.09,5.09,3,53.041,0:53.04,51.4169,0.4968,1.1241,160.8901,2:40.89,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[0,1,4,5,6];25:[0,4,6];10:[4];0:[0,1,4,5,6];8:[0,4,6];20:[0,1,4,5,6];29:[4];26:[0,1,4,5,6];15:[4];28:[0,1,4,5,6];24:[4,6];23:[4];18:[0,1,4,6];12:[0,4,6];21:[0,4,5,6];19:[4,6];9:[0,1,4,6];5:[4];1:[4];22:[0,1,4,5,6];27:[0,4,6];17:[0,1,4,6];3:[4,6];16:[0,4,6];13:[0,1,4,5,6];2:[0,4,5,6];14:[0,1,4,5,6];7:[0,4,6];11:[0,1,2,4,5,6];6:[0,1,4,6]","c4:bw=52,experts=[0,1,4,5,6]; c25:bw=35,experts=[0,4,6]; c10:bw=10,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c8:bw=30,experts=[0,4,6]; c20:bw=56,experts=[0,1,4,5,6]; c29:bw=15,experts=[4]; c26:bw=52,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c28:bw=56,experts=[0,1,4,5,6]; c24:bw=29,experts=[4,6]; c23:bw=11,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c12:bw=37,experts=[0,4,6]; c21:bw=48,experts=[0,4,5,6]; c19:bw=24,experts=[4,6]; c9:bw=48,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c1:bw=13,experts=[4]; c22:bw=54,experts=[0,1,4,5,6]; c27:bw=34,experts=[0,4,6]; c17:bw=41,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c16:bw=31,experts=[0,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c7:bw=33,experts=[0,4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]","2.1502,2.1218,2.5822,1.1285,1.1943,2.1009,3.2738,1.0612,1.1781,1.6119,1.2404,1.3586,1.7636,1.8292,1.0491,1.4840,1.3882,3.1731,1.1358,1.7180,1.9884,2.1084,1.6605,1.9109,1.7240,1.3270,1.3978,1.3310,2.2734,1.1524"
4,2026-09-23 21:33:38,Ours,0.00802,3.26314534485666,6.25,6.25,4,52.4975,0:52.50,50.8972,0.4791,1.118,213.3987,3:33.40,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[0,4,6];1:[0,1,4,6];4:[0,1,4,5,6];5:[0,1,2,3,4,5,6];16:[0,4,5,6];26:[0,4,6];9:[4,6];13:[1,4,5,6];24:[4];2:[0,1,2,4,5,6];10:[0,1,2,4,5,6];19:[0,1,4,6];28:[0,1,2,4,5,6];11:[0,1,4,6];18:[0,1,4,6];7:[0,1,4,6];21:[4,6];6:[0,1,4,5,6];0:[0,1,4,5,6];22:[0,1,4,6];25:[0,1,4,6];8:[0,4,6];27:[0,1,4,5,6];23:[4];29:[0,4,5,6];14:[0,4,6];17:[0,4,6];12:[0,1,2,4,5,6];15:[4,6];20:[0,1,2,3,4,5,6]","c3:bw=34,experts=[0,4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c16:bw=45,experts=[0,4,5,6]; c26:bw=37,experts=[0,4,6]; c9:bw=22,experts=[4,6]; c13:bw=49,experts=[1,4,5,6]; c24:bw=19,experts=[4]; c2:bw=60,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c19:bw=47,experts=[0,1,4,6]; c28:bw=63,experts=[0,1,2,4,5,6]; c11:bw=49,experts=[0,1,4,6]; c18:bw=43,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c21:bw=27,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]; c8:bw=31,experts=[0,4,6]; c27:bw=58,experts=[0,1,4,5,6]; c23:bw=15,experts=[4]; c29:bw=44,experts=[0,4,5,6]; c14:bw=32,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c15:bw=24,experts=[4,6]; c20:bw=70,experts=[0,1,2,3,4,5,6]","1.5884,1.0919,2.1535,3.1725,1.8466,1.0704,1.4032,1.6692,1.2629,1.2762,2.6778,1.4924,1.5934,2.2768,1.7804,1.3326,1.0461,1.1546,1.1217,1.6480,2.0967,1.1918,1.8827,1.3576,3.2383,1.3515,2.0157,1.8306,1.1776,2.0961"
5,2026-09-23 21:34:30,Ours,0.01,3.2254977464464774,6.73,6.73,5,52.576,0:52.58,51.0001,0.4252,1.1475,265.9871,4:25.99,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[4];3:[0,1,2,4,5,6];16:[0,4,6];28:[0,1,4,6];9:[0,1,2,4,5,6];20:[0,1,4,5,6];22:[0,1,4,6];14:[0,1,4,5,6];12:[0,1,4,5,6];17:[0,1,2,4,5,6];19:[4];13:[0,4,6];21:[0,4,6];18:[4];10:[0,4,6];5:[0,4,5,6];24:[4];23:[4,6];2:[4];4:[0,4,5,6];15:[0,4,5,6];0:[0,1,4,5,6];1:[4,6];11:[4,6];7:[4,6];27:[0,4,6];29:[0,1,4,5,6];8:[0,4,6];25:[0,4,6];6:[0,1,4,5,6]","c26:bw=19,experts=[4]; c3:bw=63,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c28:bw=45,experts=[0,1,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c20:bw=50,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c19:bw=19,experts=[4]; c13:bw=36,experts=[0,4,6]; c21:bw=35,experts=[0,4,6]; c18:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c5:bw=40,experts=[0,4,5,6]; c24:bw=12,experts=[4]; c23:bw=29,experts=[4,6]; c2:bw=10,experts=[4]; c4:bw=48,experts=[0,4,5,6]; c15:bw=45,experts=[0,4,5,6]; c0:bw=50,experts=[0,1,4,5,6]; c1:bw=20,experts=[4,6]; c11:bw=21,experts=[4,6]; c7:bw=24,experts=[4,6]; c27:bw=30,experts=[0,4,6]; c29:bw=55,experts=[0,1,4,5,6]; c8:bw=37,experts=[0,4,6]; c25:bw=34,experts=[0,4,6]; c6:bw=53,experts=[0,1,4,5,6]","1.0739,1.5978,1.8598,1.6381,1.4208,2.1096,1.6879,1.3596,1.8490,2.0466,1.4815,1.6653,1.0376,1.7813,2.5846,3.2008,1.2701,1.3559,1.2625,2.1424,1.1741,1.1193,1.0972,2.2594,1.3240,1.8941,3.2814,1.1883,2.0782,1.1588"
6,2026-09-23 21:35:23,Ours,0.01,3.1785901008875244,8.0,8.0,6,52.81,0:52.81,51.1924,0.4864,1.1281,318.809,5:18.81,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[4,6];11:[0,4,6];7:[0,1,4,5,6];13:[4];0:[0,4,6];28:[0,1,2,4,5,6,7];20:[0,4,5,6];8:[0,1,2,4,5,6];1:[0,4,6];5:[4,6];2:[0,4,5,6];23:[0,1,2,4,5,6,7];22:[0,4,6];15:[0,4,6];21:[4];29:[0,1,4,6];10:[4];14:[0,1,4,6];26:[0,1,4,6];24:[4];4:[4];3:[0,4,6];19:[0,4,6];16:[0,1,4,5,6];6:[4,6];18:[0,1,4,6];12:[0,1,2,4,5,6];27:[0,1,4,6];9:[0,1,4,6];25:[0,1,4,6]","c17:bw=27,experts=[4,6]; c11:bw=31,experts=[0,4,6]; c7:bw=58,experts=[0,1,4,5,6]; c13:bw=15,experts=[4]; c0:bw=31,experts=[0,4,6]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[0,4,5,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c1:bw=32,experts=[0,4,6]; c5:bw=27,experts=[4,6]; c2:bw=42,experts=[0,4,5,6]; c23:bw=73,experts=[0,1,2,4,5,6,7]; c22:bw=32,experts=[0,4,6]; c15:bw=33,experts=[0,4,6]; c21:bw=10,experts=[4]; c29:bw=41,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c14:bw=40,experts=[0,1,4,6]; c26:bw=43,experts=[0,1,4,6]; c24:bw=18,experts=[4]; c4:bw=17,experts=[4]; c3:bw=36,experts=[0,4,6]; c19:bw=37,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c6:bw=20,experts=[4,6]; c18:bw=40,experts=[0,1,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c27:bw=43,experts=[0,1,4,6]; c9:bw=48,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]","2.0563,2.3284,1.3459,1.7059,1.1263,1.6561,2.1217,1.2061,1.1084,3.1538,1.2921,1.3556,1.6691,1.1889,1.0369,3.2674,2.5939,1.3707,1.0732,1.2525,2.1388,1.6020,1.4968,1.8240,1.1667,1.7994,1.8261,1.9247,1.3959,2.1089"
7,2026-09-23 21:36:16,Ours,0.01,3.1333873240379395,9.63,9.63,7,52.7846,0:52.78,51.1711,0.4877,1.1227,371.8115,6:11.81,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[4];1:[4];29:[0,1,4,5,6];3:[4,6];13:[4,6];15:[0,4,6];9:[4];16:[0,1,4,5,6];14:[4];17:[0,4,5,6];21:[0,1,2,4,5,6];4:[4];18:[4,6];25:[0,1,4,5,6];7:[1,4,6];5:[0,1,4,6];23:[0,1,4,6];2:[0,4,5,6];8:[0,1,4,5,6];12:[0,1,4,6];26:[0,1,4,6];24:[0,4,6];0:[0,4,6];6:[4];22:[0,1,2,4,6];10:[4];19:[0,1,4,5,6];28:[4];11:[0,1,2,4,5,6];27:[4,6]","c20:bw=16,experts=[4]; c1:bw=10,experts=[4]; c29:bw=57,experts=[0,1,4,5,6]; c3:bw=26,experts=[4,6]; c13:bw=25,experts=[4,6]; c15:bw=39,experts=[0,4,6]; c9:bw=10,experts=[4]; c16:bw=53,experts=[0,1,4,5,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,4,5,6]; c21:bw=60,experts=[0,1,2,4,5,6]; c4:bw=14,experts=[4]; c18:bw=20,experts=[4,6]; c25:bw=50,experts=[0,1,4,5,6]; c7:bw=31,experts=[1,4,6]; c5:bw=49,experts=[0,1,4,6]; c23:bw=41,experts=[0,1,4,6]; c2:bw=40,experts=[0,4,5,6]; c8:bw=57,experts=[0,1,4,5,6]; c12:bw=47,experts=[0,1,4,6]; c26:bw=49,experts=[0,1,4,6]; c24:bw=31,experts=[0,4,6]; c0:bw=36,experts=[0,4,6]; c6:bw=13,experts=[4]; c22:bw=55,experts=[0,1,2,4,6]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,4,5,6]; c28:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c27:bw=26,experts=[4,6]","2.1196,1.1198,3.3709,1.5982,1.7132,1.2030,1.4213,1.8597,1.3596,2.0668,1.0435,2.1334,1.7650,2.1056,1.3383,3.1037,1.3592,1.2773,1.1722,1.8347,1.0848,1.2640,1.1170,1.1560,1.6583,2.5666,1.5032,1.6232,2.3153,1.9175"
8,2026-09-23 21:37:09,Ours,0.01,3.196807082503421,9.95,9.95,8,53.0175,0:53.02,51.4141,0.4782,1.1221,424.8408,7:04.84,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[0,3,4,6,7];14:[0,3,4,6,7];7:[3];9:[0,3,4,6,7];13:[3,4,7];8:[3,4,7];3:[3,4,7];12:[0,3,4,6,7];18:[3,5,7];23:[0,4,6];15:[0,3,4,5,6,7];0:[3,4,7];21:[3,4,7];28:[3,4,6];5:[4,7];26:[0,3,4,6,7];17:[0,3,4,6,7];24:[1,3,5,7];27:[3,4,6,7];20:[0,4,6,7];22:[0,1,3,4,6,7];4:[3];29:[0,1,3,4,5,6,7];2:[0,3,4,6,7];1:[3,4,5,6,7];6:[3,4,6,7];11:[3,4,6,7];19:[3,4,7];25:[3,4,6,7];16:[3,4,6,7]","c10:bw=51,experts=[0,3,4,6,7]; c14:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c9:bw=59,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c8:bw=37,experts=[3,4,7]; c3:bw=37,experts=[3,4,7]; c12:bw=51,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c23:bw=35,experts=[0,4,6]; c15:bw=66,experts=[0,3,4,5,6,7]; c0:bw=32,experts=[3,4,7]; c21:bw=31,experts=[3,4,7]; c28:bw=38,experts=[3,4,6]; c5:bw=28,experts=[4,7]; c26:bw=55,experts=[0,3,4,6,7]; c17:bw=56,experts=[0,3,4,6,7]; c24:bw=42,experts=[1,3,5,7]; c27:bw=41,experts=[3,4,6,7]; c20:bw=42,experts=[0,4,6,7]; c22:bw=61,experts=[0,1,3,4,6,7]; c4:bw=10,experts=[3]; c29:bw=71,experts=[0,1,3,4,5,6,7]; c2:bw=54,experts=[0,3,4,6,7]; c1:bw=58,experts=[3,4,5,6,7]; c6:bw=41,experts=[3,4,6,7]; c11:bw=45,experts=[3,4,6,7]; c19:bw=31,experts=[3,4,7]; c25:bw=41,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]","2.6373,1.3839,1.3570,1.4332,1.6952,1.1924,1.5915,1.8574,1.7862,1.3869,1.1943,1.1203,1.0569,1.6517,3.1453,1.0855,2.0604,1.2805,1.9163,2.1000,1.6488,2.1277,3.2908,1.2888,1.1720,1.1727,2.3244,1.4947,2.1046,1.8575"
9,2026-09-23 21:38:03,Ours,0.01,3.1482409632665336,11.52,11.52,9,53.6846,0:53.68,52.0378,0.5025,1.1412,478.5396,7:58.54,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[0,1,4,6];7:[1,4,6,7];13:[0,1,4,6];25:[0,1,2,4,5,6];9:[4,6];6:[2,4,6];28:[0,1,4,5,6];29:[0,1,4,6];18:[0,1,2,4,6];14:[2,4,6];3:[4,6];2:[4,6];12:[0,4,6];22:[0,4,6];20:[0,1,4,5,6];11:[4,6];8:[4];0:[0,2,4,5,6];24:[2,4];15:[0,4,6];10:[0,4,6];21:[0,1,2,4,5,6];27:[2,4];1:[2];19:[2,4];4:[0,2,4,6,7];23:[0,1,2,4,5,6];5:[0,1,4,5,6];16:[0,2,4,6];26:[2]","c17:bw=49,experts=[0,1,4,6]; c7:bw=46,experts=[1,4,6,7]; c13:bw=41,experts=[0,1,4,6]; c25:bw=67,experts=[0,1,2,4,5,6]; c9:bw=26,experts=[4,6]; c6:bw=31,experts=[2,4,6]; c28:bw=58,experts=[0,1,4,5,6]; c29:bw=46,experts=[0,1,4,6]; c18:bw=53,experts=[0,1,2,4,6]; c14:bw=37,experts=[2,4,6]; c3:bw=23,experts=[4,6]; c2:bw=21,experts=[4,6]; c12:bw=38,experts=[0,4,6]; c22:bw=39,experts=[0,4,6]; c20:bw=58,experts=[0,1,4,5,6]; c11:bw=28,experts=[4,6]; c8:bw=18,experts=[4]; c0:bw=52,experts=[0,2,4,5,6]; c24:bw=25,experts=[2,4]; c15:bw=36,experts=[0,4,6]; c10:bw=34,experts=[0,4,6]; c21:bw=66,experts=[0,1,2,4,5,6]; c27:bw=27,experts=[2,4]; c1:bw=14,experts=[2]; c19:bw=26,experts=[2,4]; c4:bw=59,experts=[0,2,4,6,7]; c23:bw=68,experts=[0,1,2,4,5,6]; c5:bw=52,experts=[0,1,4,5,6]; c16:bw=41,experts=[0,2,4,6]; c26:bw=19,experts=[2]","2.1127,1.3828,1.7117,2.1676,1.4512,1.1878,1.6745,3.3534,1.8016,1.3837,1.6149,1.3088,1.9138,1.7424,2.2005,2.3667,1.1970,1.1329,1.2815,1.2036,2.6288,1.0513,1.9172,1.0955,1.5022,2.1509,1.3723,3.1790,1.8548,1.0965"
10,2026-09-23 21:38:57,Ours,0.01,3.090025340641385,13.07,13.07,10,53.837,0:53.84,52.1234,0.5333,1.1772,532.3895,8:52.39,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[0,1,4,6];13:[2,4,6];14:[0,1,4,5,6];18:[4,6];5:[0,1,4,5,6];22:[4];19:[0,1,4,6];24:[0,1,2,4,5,6];20:[4];4:[0,4,6];12:[0,1,2,4,6];1:[0,1,4,6];23:[3];11:[4,6];3:[0,4,5,6];29:[2,4];21:[4];15:[1];26:[0,1,2,4,6];2:[0,4,6];9:[0,4,6];25:[0,1,2,4,5,6];10:[0,1,2,4,6];28:[4,6];27:[4,6];17:[0,4,6];6:[0,1,2,4,5,6];7:[2,4,6];0:[0,1,4,5,6];8:[0,4,6]","c16:bw=44,experts=[0,1,4,6]; c13:bw=38,experts=[2,4,6]; c14:bw=57,experts=[0,1,4,5,6]; c18:bw=28,experts=[4,6]; c5:bw=58,experts=[0,1,4,5,6]; c22:bw=10,experts=[4]; c19:bw=43,experts=[0,1,4,6]; c24:bw=68,experts=[0,1,2,4,5,6]; c20:bw=10,experts=[4]; c4:bw=37,experts=[0,4,6]; c12:bw=52,experts=[0,1,2,4,6]; c1:bw=41,experts=[0,1,4,6]; c23:bw=10,experts=[3]; c11:bw=21,experts=[4,6]; c3:bw=46,experts=[0,4,5,6]; c29:bw=25,experts=[2,4]; c21:bw=10,experts=[4]; c15:bw=10,experts=[1]; c26:bw=58,experts=[0,1,2,4,6]; c2:bw=34,experts=[0,4,6]; c9:bw=35,experts=[0,4,6]; c25:bw=66,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c28:bw=24,experts=[4,6]; c27:bw=24,experts=[4,6]; c17:bw=35,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c8:bw=35,experts=[0,4,6]","1.9066,1.7128,1.3921,1.8301,3.2026,1.6937,1.5338,1.3031,2.1364,2.1759,1.8713,1.1222,1.4056,2.3545,1.6320,3.3264,1.0655,1.2187,1.1086,1.3057,1.4320,2.1706,2.6666,1.6713,1.9489,2.0589,1.1856,1.3632,1.1299,1.1988"
